	PolII sum gb	PolII sum promoter
ENSMUSG00000117426	3.234596576353885	2.7198859565557103
ENSMUSG00000055923	4.329649365085768	4.531002635158917
ENSMUSG00000093472	4.0598044153813975	2.2248661442866013
ENSMUSG00000095936	4.283678056911056	4.001805080041947
ENSMUSG00000075534	3.9898016494336073	2.6876891539295307
ENSMUSG00000057067	3.045282807949772	2.297340234557165
ENSMUSG00000106350	4.290739303874292	4.107367146756812
ENSMUSG00000054920	4.474662959242697	4.054318446315036
ENSMUSG00000038473	4.738521330959736	3.2415340293147947
ENSMUSG00000086939	3.5179142874343023	3.023362631588466
ENSMUSG00000111602	4.261440516406685	2.447267986988661
ENSMUSG00000059042	2.7437346929628896	2.690668819556534
ENSMUSG00000056418	2.463437561900857	2.9185508633920003
ENSMUSG00000107022	3.197575502454687	2.563065181849168
ENSMUSG00000052428	4.362056265018156	4.600394903206166
ENSMUSG00000014294	3.4662530468745776	4.156440109740573
ENSMUSG00000097010	3.663766551339741	3.381399100078102
ENSMUSG00000020720	4.891170094000027	4.219261697692716
ENSMUSG00000026815	3.6381703244634314	2.474485307281737
ENSMUSG00000042851	4.380951926290718	4.782792852006689
ENSMUSG00000104232	3.506662846997588	2.602388844860448
ENSMUSG00000062044	4.591611028750118	3.531296645427443
ENSMUSG00000063430	5.030863672277187	2.849304528633742
ENSMUSG00000103839	3.081811603379894	3.1799307717374847
ENSMUSG00000009588	3.332310509361402	2.736644523824691
ENSMUSG00000031772	4.849566201407994	2.60632976270067
ENSMUSG00000042351	4.389101083047293	3.145171742544226
ENSMUSG00000107357	2.639463578634278	3.0022386541698083
ENSMUSG00000034729	4.403673479628154	4.207164727283449
ENSMUSG00000029229	4.831155169885259	4.442780169752599
ENSMUSG00000020612	4.512523862550006	2.973562084930274
ENSMUSG00000109372	3.851086227976128	2.770848821896948
ENSMUSG00000063108	4.696849823367915	4.094851799237066
ENSMUSG00000026999	4.886382043951389	3.6204875835788326
ENSMUSG00000051879	3.200390799763423	2.846283285973948
ENSMUSG00000020545	3.882781357910548	2.596766016151777
ENSMUSG00000084758	3.964445222740655	3.315561734650965
ENSMUSG00000113065	3.23214785802393	3.074165120046336
ENSMUSG00000109405	3.071186211008329	2.1290636659642224
ENSMUSG00000048138	3.1893433717272623	3.263269860392205
ENSMUSG00000107538	4.074073703362778	2.2606606263506817
ENSMUSG00000044528	3.1669261951513965	3.464973152276713
ENSMUSG00000087139	2.7726724730182983	2.66506040121584
ENSMUSG00000092066	3.0244062997669348	3.0659320859186514
ENSMUSG00000016933	4.908422461670238	4.264502215447537
ENSMUSG00000112619	3.16333334858195	2.3511412803852223
ENSMUSG00000038127	4.685183214194419	3.8476882088726025
